label,APCA_0,APCA_1,APCA_2,APCA_3,APCA_4,APCA_5,APCA_6,APCA_7,APCA_8,APCA_9,APCA_10,APCA_11,APCA_12,APCA_13,APCA_14,APCA_15,APCA_16,APCA_17,APCA_18,APCA_19,APCA_20,APCA_21,APCA_22,APCA_23,APCA_24,APCA_25,APCA_26,APCA_27,APCA_28,APCA_29
7,1.297337332686813172e+00,-4.082243934865744883e+00,6.536681995244683074e-01,4.383058751304508283e-01,9.041615547160535282e-01,1.173577504091813051e+00,-8.353054771709311765e-01,-1.382718299091532543e+00,-4.458892607051860857e-01,1.591655588726297033e-01,-2.532492448566151522e-01,6.607833564686016459e-02,-7.456382470125419992e-01,-2.468069945799178933e-01,-6.201072404662064663e-01,4.322400319959123771e-01,-1.847049401685303682e-01,-4.090844882140062116e-02,3.539668383219276016e-01,-5.367856410408149426e-01,-5.573617470311088562e-01,-1.592781564294635521e-01,-6.019363709290675990e-01,2.103156376078731682e-01,3.051748878142391264e-01,1.575920266122673996e-01,1.758224052882217503e+00,-6.943137251472386584e-01,-8.931489275357644420e-02,-6.650727435807565757e-02
3,3.753771300925992538e+00,-7.468867960848010412e+00,1.630426219237786301e+00,6.515718523553034602e-01,5.276118269176015563e-01,-8.025533777736737484e-01,2.934915515431314736e-02,-1.469914761031463568e+00,3.459295107672183400e-01,2.998048064700343240e-01,-3.201941254215731059e-01,2.936958495850206519e-01,-5.813203468104184007e-02,-2.818691994561665082e-01,1.776164766444101040e-01,-8.507414622261494364e-02,-1.915359269709663304e-01,1.253642098886163625e+00,5.584317814006812819e-01,2.815737126705186374e-02,-1.275406861792367064e+00,-3.981474885191114699e-01,7.191877695794588465e-01,1.262435132164173995e-02,-1.874095271223550574e+00,6.057086393842740779e-02,9.904931471876321503e-01,-1.318281206431876074e+00,-8.885814084312461114e-01,3.116509643153693720e-01
3,3.286246599037359495e+00,-6.049116545211314033e+00,1.299159745582404435e+00,4.512459029221948525e-01,-1.224979026574037587e-02,-4.433461422359416537e-01,1.722749653703862682e+00,1.588804347288020002e+00,-6.671301257060701095e-01,-1.058966430222769040e+00,-1.134007766699254988e-01,-1.049924531540024963e+00,3.544266953075937421e-01,5.100862303982398593e-01,-5.580796027035043183e-01,2.420964429952645047e-01,-5.855094466350972970e-01,1.106769926332673792e+00,-8.761910942657331614e-01,-2.044921782196946480e-01,6.692678279045181922e-02,1.324627924607274521e+00,9.027118242207400334e-01,1.367765430618512468e-01,-1.709885188327703531e+00,8.585797129529561256e-02,-4.069220126174453167e-01,-6.723498230989403135e-01,-4.809931765878287524e-01,-6.550689719556677115e-01
3,3.015756618882572404e+00,-6.687317829046156348e+00,1.037627708371254398e+00,7.800293022817302857e-01,6.238809838693528675e-01,-1.300256772054914522e+00,1.023452972553502427e-01,-3.977334855349392573e-01,1.788414362456166307e-01,5.021531498296377682e-01,-6.339548960090477525e-01,5.995511388956601406e-01,-7.238786280339045698e-01,-1.423442224610750317e+00,-8.482038895269192746e-01,7.368100157781557469e-01,-3.480967261177858041e-01,5.152146623434955552e-01,-7.612027668120111557e-01,1.049157913023789357e-01,-1.039480148015250904e+00,2.017923119964912249e-01,-2.983722272428088185e-03,1.925547697155008398e-01,-1.842796879716133707e-01,-1.242757917406750040e-01,2.759888019751445265e-01,-8.239862596744305934e-02,5.181762220054449974e-01,-4.147210402723163214e-01
7,2.160163462241355248e+00,-3.058333325536608527e+00,2.166836473348594805e-01,-2.431119313572655649e+00,-2.904800390859904269e+00,-2.809620674762241421e+00,-5.321854388171650685e-01,2.781084852433587162e+00,9.534718385149668074e-02,1.215381745204675346e+00,-1.689621321816523691e+00,2.155515016566533326e+00,-1.649909403372555206e+00,5.681318525739874337e-02,-3.326485451417480199e+00,3.185281743194159354e+00,1.404254396241752523e-01,4.208877713621113070e-01,-5.531761218523145729e-01,-5.851881311222455473e-01,-1.227138892641640722e-01,-1.385763088381457842e-01,2.151452532875168355e+00,2.819890914581598684e-01,7.408510738963609565e-01,-9.619059060798655914e-01,-1.010374217322910440e+00,-1.231143862753765417e+00,7.893811937594985562e-01,-1.217519466157564567e+00
1,6.491360849346271777e+00,4.754565932409609452e+00,-6.428206487645593548e-01,9.921237591829631386e-01,-1.193878791788925531e+00,-2.210184368329600080e+00,-1.645777970408584645e+00,6.931634302483900001e-01,-2.034098468144761362e+00,-1.663336184651521110e+00,4.320282003570025120e-01,3.212718662655303925e-01,-1.086689819698431370e+00,-1.038707177104600365e+00,-1.952000968657202629e+00,-2.529190922655060181e+00,2.407578614093234926e+00,-1.268312082703401122e+00,-1.817671811824183914e+00,-1.249249955909399024e+00,1.191289483827320944e-01,1.141428740123153318e+00,6.908687433756258711e-01,-9.671619064845277114e-01,-1.534080158516188508e+00,-5.017330349605295670e-01,-2.545427303718659773e-01,-1.814414451817114859e-01,2.143787322030695497e-01,1.116476238883961747e+00
7,1.615808308944938487e-01,-1.162306385318870428e+00,-2.462254683412905987e+00,-3.601975037720476225e-01,3.378211721527875522e+00,1.050742595808692448e-01,2.842806290764249955e+00,5.705440112494722271e+00,-2.982152299550137720e+00,-4.112860199731377620e+00,2.879040684045944598e+00,-7.379412928603645838e-01,-3.998736233649655247e+00,6.935922406902117476e-01,-5.193471850017041813e-01,-1.229473700801982927e+00,-2.357824631835976792e+00,3.312273608860962781e+00,9.202311002711698051e-02,-4.421095644133974378e-01,-1.377862035325174039e+00,-2.059726135079731790e+00,-6.977086527744961186e-01,-5.494648994129578412e-01,-1.608281344734528717e-01,4.102989535385746095e-02,1.329375196743479037e+00,-6.100692266077295534e-01,1.519085023564222148e+00,1.709431296591150229e+00
3,2.613982777988633988e+00,-4.997175228086495835e+00,6.722159935240594741e-01,-4.308828206863311028e-01,-1.400393961625512329e+00,-1.013880651174177139e+00,1.089275409231490688e+00,1.042971973019852117e+00,-4.085841139489101992e-01,1.331341804696667186e+00,-4.619013404141120716e-01,1.752032540196035937e+00,9.681848118855538310e-01,8.788348244335998372e-01,-1.488429179000225977e+00,-2.577840108804477559e+00,2.224185092840651023e+00,1.069971795231895451e+00,2.047673014229058008e+00,3.672659973356491303e-01,-9.075266896102274217e-02,3.116866665787936808e-01,-3.529114410995083939e-01,9.689161616109179809e-01,1.349321737275662727e-03,1.063686622899147727e+00,3.568117601930885785e-01,-5.928224908610393307e-01,-1.306283707504544422e-01,8.024896058370008245e-02
1,4.019759149715947721e+00,2.227293812233967163e+00,3.011490393438727708e-01,8.936196548111237370e-02,-2.375684491310519619e-01,1.024164243524286144e+00,9.706723856002791306e-02,-2.317900518635327145e-01,-7.974791122158587930e-02,-3.384241120604409292e-01,-1.162173661147409165e+00,-1.725054439293565167e-01,-8.226520719568162221e-01,1.091864900647550873e-01,-7.488300740819919810e-02,2.457148496629521506e-01,3.248696107004107603e-01,-5.076345777248331137e-01,2.653790367031500508e-01,1.523455390927869191e-01,-7.793640634541176837e-02,2.983243763114915015e-02,3.993007441970992111e-01,-3.450099306443769054e-01,-2.910861403629084188e-01,7.831928220525433137e-02,1.291078050385076892e-01,3.365019291506747834e-01,8.660561602853262819e-01,-1.705629163091445799e-01
1,7.745486361502637251e+00,4.602376627035025258e+00,-2.712989539457454913e-01,-1.992757496411507734e-01,1.536325356649953067e+00,1.433928265018837633e+00,1.018376217717496424e+00,3.239507055711343231e+00,-2.058001955916421155e-01,-1.603164268623370914e+00,6.590331882015358911e-01,1.327222783041396736e+00,-1.209069982565668333e+00,3.836366806450791644e-01,-2.808689029299522161e-02,2.262787264307404012e-01,-5.718852845229998039e-01,5.646253284210480672e-01,1.264070686630624218e-01,-7.594133265083956585e-01,-1.762470296697328020e+00,-1.139997901603821973e+00,4.001606362579605558e-01,-6.449019080773084056e-01,-7.189753483669858447e-01,-3.323299147607978177e-01,-2.765125870714517653e-01,-5.519827235037680913e-01,-1.120109294170798936e-01,-5.187296076269949652e-02
